               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.042075,            0.013058,            0.015826,             0.87309,             0.80203,             0.85791,             0.47305,            0.036642,           0.0047235,           0.0072647,            0.006106,            0.006106,            0.006106
                  61,            0.041515,            0.012884,            0.014548,              0.8209,             0.81994,             0.85095,             0.42747,            0.036242,           0.0044923,           0.0065255,             0.00604,             0.00604,             0.00604
                  62,              0.0419,               0.013,            0.016414,             0.79645,              0.7817,             0.79938,              0.4456,            0.035654,           0.0049756,           0.0065694,            0.005974,            0.005974,            0.005974
                  63,            0.041816,            0.012863,            0.015609,             0.84836,             0.81244,             0.84178,             0.43855,            0.037299,           0.0043425,           0.0074979,            0.005908,            0.005908,            0.005908
                  64,            0.040283,            0.012911,            0.014603,             0.81548,             0.78523,             0.81185,             0.42696,            0.034638,           0.0046239,           0.0083452,            0.005842,            0.005842,            0.005842
                  65,            0.040175,            0.012728,            0.015717,             0.85831,             0.80179,             0.85392,             0.40893,            0.037534,           0.0044708,           0.0075324,            0.005776,            0.005776,            0.005776
                  66,            0.040184,            0.012875,            0.014793,             0.89022,              0.8528,             0.87835,             0.53481,            0.034139,           0.0043265,           0.0073678,             0.00571,             0.00571,             0.00571
                  67,            0.041089,            0.012944,            0.016088,             0.79444,             0.75903,             0.80486,             0.40066,            0.038156,           0.0047606,           0.0072173,            0.005644,            0.005644,            0.005644
                  68,            0.040409,             0.01285,            0.014669,             0.81729,             0.82882,             0.82687,             0.45174,            0.035066,           0.0044247,           0.0070444,            0.005578,            0.005578,            0.005578
                  69,            0.040112,            0.012749,            0.014471,             0.88485,             0.85206,             0.86739,              0.4646,            0.035683,           0.0041739,           0.0059202,            0.005512,            0.005512,            0.005512
                  70,            0.039763,            0.012711,            0.015358,             0.90306,              0.8895,             0.91559,             0.50746,            0.033011,           0.0041803,           0.0058371,            0.005446,            0.005446,            0.005446
                  71,            0.039254,            0.012836,            0.014254,             0.82607,             0.82381,             0.82069,             0.46303,            0.033652,           0.0042867,           0.0069902,             0.00538,             0.00538,             0.00538
                  72,            0.039688,            0.013087,            0.016008,             0.83794,             0.78598,             0.84868,             0.45941,            0.036804,           0.0046826,           0.0053046,            0.005314,            0.005314,            0.005314
                  73,            0.039171,            0.012657,            0.013604,             0.87147,             0.87795,             0.89694,             0.47315,            0.035255,           0.0044066,           0.0037085,            0.005248,            0.005248,            0.005248
                  74,            0.040172,            0.012261,            0.014283,               0.801,             0.81682,             0.80036,             0.42868,            0.036365,           0.0043874,           0.0076732,            0.005182,            0.005182,            0.005182
                  75,              0.0391,            0.012618,            0.014295,             0.84693,             0.84559,             0.84902,             0.46399,            0.034399,           0.0043599,           0.0059708,            0.005116,            0.005116,            0.005116
                  76,            0.039029,            0.012448,            0.015241,             0.82875,             0.79972,              0.8336,             0.47924,            0.035387,           0.0043086,           0.0043844,             0.00505,             0.00505,             0.00505
                  77,            0.039723,            0.012439,            0.013487,             0.86123,             0.85777,             0.87392,             0.48389,            0.035512,           0.0041836,           0.0057955,            0.004984,            0.004984,            0.004984
                  78,            0.039237,            0.012457,            0.014103,             0.84725,             0.84493,             0.85543,             0.51099,            0.032657,           0.0042029,           0.0057066,            0.004918,            0.004918,            0.004918
                  79,            0.038354,             0.01233,            0.013249,             0.82133,              0.8482,             0.81875,             0.45992,            0.034744,           0.0041934,           0.0045268,            0.004852,            0.004852,            0.004852
                  80,            0.038888,            0.012429,            0.014271,             0.88695,             0.88166,             0.88799,             0.47894,            0.034896,            0.004169,           0.0054717,            0.004786,            0.004786,            0.004786
                  81,            0.038895,            0.012377,            0.013473,             0.88834,             0.85593,             0.88497,             0.50725,            0.034238,           0.0040312,           0.0047156,             0.00472,             0.00472,             0.00472
                  82,            0.038235,              0.0125,            0.014014,             0.88963,             0.86911,             0.89163,             0.51079,            0.033468,           0.0041301,           0.0036531,            0.004654,            0.004654,            0.004654
                  83,            0.039106,            0.012335,            0.012881,              0.8679,             0.87027,             0.86676,             0.51344,            0.034015,           0.0040109,           0.0035677,            0.004588,            0.004588,            0.004588
                  84,            0.038125,            0.012179,            0.013365,             0.93376,             0.86298,             0.90489,             0.50001,            0.034786,           0.0040529,           0.0044347,            0.004522,            0.004522,            0.004522
                  85,            0.038807,             0.01233,            0.013967,             0.90737,             0.87706,             0.90966,             0.54401,            0.033474,           0.0040049,           0.0032636,            0.004456,            0.004456,            0.004456
                  86,            0.038122,              0.0121,            0.013727,             0.92008,             0.86626,             0.89791,              0.5171,             0.03414,           0.0039891,           0.0048239,             0.00439,             0.00439,             0.00439
                  87,            0.039092,             0.01229,            0.014461,             0.91358,             0.90282,             0.91339,             0.48077,            0.035231,           0.0041148,           0.0036944,            0.004324,            0.004324,            0.004324
                  88,            0.038556,            0.012049,            0.013199,             0.92303,             0.86684,              0.9066,              0.5442,            0.032595,            0.004043,           0.0030801,            0.004258,            0.004258,            0.004258
                  89,            0.038693,            0.012066,            0.011954,             0.90376,             0.84982,             0.89199,             0.49984,            0.034629,           0.0039944,            0.003362,            0.004192,            0.004192,            0.004192
                  90,            0.037985,            0.012217,            0.012614,             0.89278,             0.89046,             0.90282,             0.50776,             0.03473,           0.0040188,           0.0032172,            0.004126,            0.004126,            0.004126
                  91,            0.037737,            0.012431,            0.012575,             0.92401,             0.89023,             0.91658,             0.54325,            0.033833,           0.0039876,           0.0029838,             0.00406,             0.00406,             0.00406
                  92,            0.039514,             0.01219,            0.011985,             0.88085,             0.87987,             0.88863,             0.49518,             0.03379,           0.0040349,           0.0034162,            0.003994,            0.003994,            0.003994
                  93,            0.038659,            0.012328,             0.01074,             0.95662,             0.86419,             0.92403,             0.53294,            0.032945,           0.0040507,           0.0036685,            0.003928,            0.003928,            0.003928
                  94,            0.039169,            0.011979,            0.012151,               0.871,             0.89235,             0.90153,             0.52637,            0.032768,           0.0040134,           0.0032801,            0.003862,            0.003862,            0.003862
                  95,            0.037907,            0.012015,            0.012215,             0.91366,             0.90378,             0.92903,             0.52994,            0.033187,           0.0040289,           0.0039912,            0.003796,            0.003796,            0.003796
                  96,            0.038382,            0.012091,            0.012041,              0.8989,             0.90999,             0.92102,             0.55415,            0.033252,           0.0039156,           0.0034691,             0.00373,             0.00373,             0.00373
                  97,            0.037744,            0.012001,            0.011062,             0.90195,             0.89378,             0.90871,             0.54883,            0.031932,           0.0038912,            0.004224,            0.003664,            0.003664,            0.003664
                  98,            0.036719,            0.011911,             0.01252,             0.92274,             0.89253,             0.91948,              0.5621,            0.033492,            0.003984,            0.004156,            0.003598,            0.003598,            0.003598
                  99,            0.038616,            0.011933,            0.011901,             0.90037,             0.89466,             0.89903,             0.52621,            0.034354,           0.0039043,           0.0044392,            0.003532,            0.003532,            0.003532
                 100,            0.036015,            0.011636,            0.011882,             0.90142,             0.89016,             0.90461,             0.55724,            0.033309,           0.0038727,           0.0043361,            0.003466,            0.003466,            0.003466
                 101,            0.038031,            0.012002,             0.01175,             0.89425,             0.88952,               0.909,             0.51728,            0.033749,           0.0038774,           0.0037145,              0.0034,              0.0034,              0.0034
                 102,            0.037222,            0.012032,            0.010991,             0.90504,             0.89046,              0.9086,             0.51646,             0.03289,           0.0039712,           0.0055286,            0.003334,            0.003334,            0.003334
                 103,            0.035017,            0.011736,            0.011868,             0.91869,             0.88782,             0.92792,             0.56356,            0.031791,           0.0038949,           0.0051725,            0.003268,            0.003268,            0.003268
                 104,            0.036604,            0.012108,           0.0099313,             0.93493,              0.8853,             0.92978,             0.56169,            0.030933,           0.0038741,           0.0060858,            0.003202,            0.003202,            0.003202
                 105,            0.036558,            0.011888,            0.011453,             0.92629,             0.89373,             0.93539,             0.56711,            0.031919,           0.0038451,           0.0045901,            0.003136,            0.003136,            0.003136
                 106,            0.036481,            0.011667,            0.012546,             0.91445,             0.89741,             0.92475,             0.57075,            0.032051,           0.0038067,           0.0045614,             0.00307,             0.00307,             0.00307
                 107,            0.036208,            0.011839,            0.011384,             0.91615,             0.91107,             0.93532,             0.58016,            0.031416,           0.0038141,           0.0036619,            0.003004,            0.003004,            0.003004
                 108,            0.036303,            0.011738,             0.01074,             0.92352,             0.91409,             0.93511,             0.57514,            0.032028,           0.0037982,           0.0031864,            0.002938,            0.002938,            0.002938
                 109,            0.035618,            0.011624,             0.01015,             0.89037,             0.92698,             0.93067,             0.56556,            0.032222,           0.0037606,           0.0031042,            0.002872,            0.002872,            0.002872
                 110,            0.035907,            0.011977,            0.010382,             0.92408,              0.9078,             0.93419,             0.57262,            0.031256,           0.0037398,           0.0033875,            0.002806,            0.002806,            0.002806
                 111,             0.03613,            0.011683,            0.010392,             0.92696,             0.90048,             0.93426,             0.56588,            0.032128,           0.0037793,           0.0032856,             0.00274,             0.00274,             0.00274
                 112,            0.034677,             0.01138,           0.0087529,             0.91607,             0.88786,             0.91447,             0.55901,            0.031849,            0.003812,           0.0036508,            0.002674,            0.002674,            0.002674
                 113,            0.036767,            0.011924,            0.010004,             0.91226,             0.88739,             0.90965,             0.56608,            0.031639,           0.0037465,           0.0033986,            0.002608,            0.002608,            0.002608
                 114,            0.034623,            0.011515,             0.01068,             0.92115,             0.90704,             0.93184,             0.57671,            0.031307,           0.0036836,            0.003679,            0.002542,            0.002542,            0.002542
                 115,            0.036816,            0.011752,            0.010695,             0.92225,             0.90569,             0.92858,              0.5506,            0.032658,           0.0037118,           0.0027672,            0.002476,            0.002476,            0.002476
                 116,             0.03563,            0.011758,           0.0098455,             0.92426,             0.89753,              0.9263,             0.55097,            0.032469,           0.0037676,           0.0027475,             0.00241,             0.00241,             0.00241
                 117,            0.035226,             0.01182,            0.010644,             0.93312,             0.90523,             0.93469,             0.57503,            0.031991,           0.0038163,           0.0026058,            0.002344,            0.002344,            0.002344
                 118,            0.035991,            0.011749,           0.0097834,             0.92341,             0.89073,             0.91825,             0.56304,            0.032736,           0.0038001,           0.0026037,            0.002278,            0.002278,            0.002278
                 119,            0.034428,            0.011769,            0.010046,             0.92593,             0.90687,             0.93198,             0.56133,            0.032682,           0.0037553,           0.0027033,            0.002212,            0.002212,            0.002212
